show_id,country
s382,"Egypt, Algeria"
s383,"France, Egypt"
s384,Uruguay
s385,United Arab Emirates
s386,Turkey
s387,United States
s388,United States
s389,Australia
s390,Canada
s391,
s392,"Soviet Union, India"
s393,United States
s394,Japan
s395,Brazil
s396,United States
s397,
s398,United States
s399,United Kingdom
s400,United States
s401,United States
s402,"Sweden, United States"
s403,South Africa
s404,United States
s405,United States
s406,United States
s407,Malaysia
s408,United States
s409,"Ireland, United Kingdom, United States"
s410,Colombia
s411,"Spain, Italy"
s412,United States
s413,
s414,United States
s415,United States
s416,United States
s417,Philippines
s418,United States
s419,United States
s420,United Kingdom
s421,Mexico
s422,Brazil
s423,United States
s424,Hong Kong
s425,Germany
s426,United States
s427,Argentina
s428,United States
s429,
s430,"United Kingdom, France, Germany"
s431,Philippines
s432,"United States, Germany, Canada"
s433,United States
s434,"United States, India"
s435,United Kingdom
s436,United States
s437,
s438,United States
s439,"Japan, United States"
s440,United States
s441,Colombia
s442,Philippines
s443,"Denmark, United States"
s444,"South Africa, United States"
s445,Spain
s446,United Kingdom
s447,India
s448,Egypt
s449,United States
s450,United Kingdom
s451,United Kingdom
s452,United States
s453,United States
s454,United States
s455,United States
s456,United States
s457,United States
s458,United States
s459,United States
s460,United States
s461,United States
s462,United States
s463,United States
s464,United States
s465,Canada
s466,"Canada, Luxembourg"
s467,United States
s468,"United Kingdom, United States"
s469,United States
s470,United States
s471,United States
s472,United States
s473,United States
s474,"United States, Canada"
s475,United States
s476,United States
s477,United States
s478,India
s479,Philippines
s480,Turkey
s481,India
s482,United Kingdom
s483,United States
s484,United States
s485,India
s486,United States
s487,United States
s488,United States
s489,United States
s490,France
s491,Egypt
s492,"United Kingdom, United States"
s493,Egypt
s494,United States
s495,Taiwan
s496,United States
s497,"Serbia, United States"
s498,Colombia
s499,Egypt
s500,Brazil
s501,India
s502,India
s503,Spain
s504,"Canada, Nigeria"
s505,United States
s506,"Iceland, Sweden, Belgium"
s507,Egypt
s508,India
s509,India
s510,
s511,India
s512,Singapore
s513,France
s514,United States
s515,India
s516,Taiwan
s517,Japan
s518,United States
s519,United States
s520,"Ireland, Canada"
s521,United States
s522,"United States, Italy"
s523,United States
s524,Finland
s525,"India, Germany"
s526,
s527,India
s528,United Kingdom
s529,"China, Spain, South Korea, United States"
s530,China
s531,"Spain, Belgium"
s532,Brazil
s533,India
s534,India
s535,India
s536,United States
s537,India
s538,India
s539,United States
s540,Canada
s541,Japan
s542,"United Kingdom, Canada, United States, Germany"
s543,"Brazil, Netherlands, United States, Colombia, Austria, Germany"
s544,United States
s545,South Korea
s546,
s547,United States
s548,Egypt
s549,
s550,United States
s551,United States
s552,United States
s553,India
s554,United States
s555,
s556,India
s557,Japan
s558,United States
s559,Argentina
s560,Spain
s561,India
s562,United States
s563,"United States, Canada"
s564,"United Kingdom, United States"
s565,"France, Canada, Belgium"
s566,United States
s567,France
s568,United States
s569,Colombia
s570,Japan
s571,
s572,"India, United Kingdom, China, Canada, Japan, South Korea, United States"
s573,"France, Belgium"
s574,Egypt
s575,United States
s576,Netherlands
s577,South Korea
s578,Iceland
s579,United States
s580,United States
s581,Indonesia
s582,India
s583,"Canada, United States"
s584,United States
s585,United States
s586,United States
s587,South Korea
s588,United States
s589,"United Kingdom, United States"
s590,India
s591,"Indonesia, South Korea, Singapore"
s592,United States
s593,United States
s594,India
s595,India
s596,United States
s597,China
s598,Australia
s599,United States
s600,India
s601,United States
s602,Norway
s603,United States
s604,United States
s605,Peru
s606,India
s607,South Korea
s608,United States
s609,Canada
s610,Taiwan
s611,Japan
s612,United States
s613,"France, Senegal, Belgium"
s614,United States
s615,"United States, Canada"
s616,"Canada, France"
s617,Japan
s618,United Kingdom
s619,Chile
s620,United States
s621,United States
s622,Australia
s623,"Romania, France, Switzerland, Germany"
s624,United Kingdom
s625,Australia
s626,United States
s627,United States
s628,United States
s629,India
s630,"Bulgaria, United States, Spain, Canada"
s631,Taiwan
s632,United States
s633,United States
s634,Indonesia
s635,United Kingdom
s636,United States
s637,"Sweden, Netherlands"
s638,United Kingdom
s639,United States
s640,United States
s641,United States
s642,
s643,India
s644,India
s645,India
s646,Mexico
s647,Ghana
s648,India
s649,United States
s650,United States
s651,United States
s652,Japan
s653,India
s654,India
s655,India
s656,India
s657,India
s658,
s659,
s660,
s661,India
s662,
s663,
s664,India
s665,Turkey
s666,Turkey
s667,"France, United States, Mexico"
s668,United States
s669,Italy
s670,United Kingdom
s671,India
s672,South Africa
s673,Germany
s674,India
s675,Brazil
s676,Australia
s677,Japan
s678,Taiwan
s679,
s680,Thailand
s681,
s682,Canada
s683,United States
s684,United States
s685,"Australia, United Kingdom, United Arab Emirates, Canada"
s686,Canada
s687,India
s688,United States
s689,United States
s690,United Kingdom
s691,United Kingdom
s692,Thailand
s693,United States
s694,South Korea
s695,South Korea
s696,"Singapore, United States"
s697,"United States, Canada"
s698,"France, Belgium"
s699,India
s700,India
s701,India
s702,United States
s703,
s704,Japan
s705,
s706,"Japan, Canada, United States"
s707,
s708,Chile
s709,United States
s710,United States
s711,United States
s712,Pakistan
s713,Turkey
s714,Nigeria
s715,United States
s716,United States
s717,United States
s718,India
s719,Thailand
s720,India
s721,
s722,Thailand
s723,Thailand
s724,
s725,Thailand
s726,Thailand
s727,Thailand
s728,Thailand
s729,Spain
s730,India
s731,Saudi Arabia
s732,Germany
s733,"Australia, Armenia, Japan, Jordan, Mexico, Mongolia, New Zealand, Philippines, South Africa, Sweden, United States, Uruguay"
s734,United States
s735,"United States, Canada"
s736,"United States, Canada"
s737,
s738,United States
s739,United States
s740,United States
s741,"United States, Canada"
s742,United States
s743,United States
s744,United States
s745,"United States, Canada"
s746,"United States, Canada"
s747,United States
s748,United States
s749,United States
s750,Philippines
s751,India
s752,India
s753,United States
s754,India
s755,Chile
s756,United States
s757,India
s758,United States
s759,"United States, France"
s760,United States
s761,Italy
s762,United States
s763,India
s764,United States
s765,United States
s766,"Norway, Denmark, Netherlands, Sweden"
s767,United States
s768,United States
s769,United Kingdom
s770,
s771,India
s772,Namibia
s773,"Mexico, Finland"
s774,India
s775,India
s776,"United States, Australia"
s777,United States
s778,Taiwan
s779,Taiwan
s780,Russia
s781,Germany
s782,"United Kingdom, United States"
s783,United States
s784,Canada
s785,Japan
s786,United States
s787,"Australia, Canada"
s788,"Australia, Canada"
s789,South Korea
s790,United States
s791,Mexico
s792,Canada
s793,Philippines
s794,
s795,United States
s796,United States
s797,Indonesia
s798,South Korea
s799,Egypt
s800,United States
s801,Mexico
s802,"United Kingdom, Ireland"
s803,United States
s804,"United States, Australia"
s805,
s806,Nigeria
s807,United States
s808,United States
s809,United States
s810,Egypt
s811,"Japan, United States"
s812,United States
s813,United States
s814,United States
s815,
s816,Turkey
s817,India
s818,United Kingdom
s819,United States
s820,United States
s821,Nigeria
s822,United States
s823,Lebanon
s824,"Belgium, France"
s825,New Zealand
s826,United States
s827,"Uruguay, Spain, Mexico"
s828,Canada
s829,United Kingdom
s830,United States
s831,United States
s832,United States
s833,United States
s834,United States
s835,"United Arab Emirates, United States"
s836,United States
s837,United States
s838,United States
s839,Germany
s840,Turkey
s841,Australia
s842,Germany
s843,Germany
s844,Japan
s845,Japan
s846,Japan
s847,United States
s848,
s849,United States
s850,United States
s851,"South Korea, China"
s852,
s853,
s854,Canada
s855,United States
s856,United States
s857,India
s858,United States
s859,United States
s860,Russia
s861,United States
s862,United States
s863,Canada
s864,Philippines
s865,United States
s866,Spain
s867,India
s868,Egypt
s869,Japan
s870,
s871,Japan
s872,
s873,Japan
s874,Turkey
s875,"United States, India"
s876,"United States, Canada, Indonesia, United Kingdom, China, Singapore"
s877,United States
s878,
s879,"India, Iran"
s880,India
s881,India
s882,India
s883,India
s884,India
s885,India
s886,India
s887,India
s888,India
s889,India
s890,
s891,India
s892,India
s893,India
s894,India
s895,Germany
s896,Germany
s897,Germany
s898,Germany
s899,
s900,"United States, France, Japan"
s901,United States
s902,United States
s903,United Kingdom
s904,"United States, Germany"
s905,United States
s906,"United States, United Kingdom"
s907,United States
s908,United States
s909,Denmark
s910,"United States, Canada"
s911,France
s912,United States
s913,United Kingdom
s914,United States
s915,United States
s916,United States
s917,"United States, United Kingdom"
s918,United States
s919,United States
s920,United Kingdom
s921,
s922,United Kingdom
s923,United Kingdom
s924,United States
s925,United States
s926,United States
s927,India
s928,"United Kingdom, France"
s929,United States
s930,United States
s931,India
s932,Germany
s933,India
s934,"Turkey, India"
s935,United States
s936,"United States, Mexico"
s937,"Philippines, Qatar"
s938,Canada
s939,United States
s940,Vietnam
s941,Canada
s942,Spain
s943,Egypt
s944,India
s945,India
s946,"Ireland, Luxembourg, Belgium"
s947,United States
s948,Japan
s949,"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait"
s950,United Kingdom
s951,India
s952,"United States, United Kingdom"
s953,Turkey
s954,United States
s955,United States
s956,Spain
s957,United Kingdom
s958,United States
s959,Turkey
s960,United States
s961,"Russia, United States"
s962,"United Kingdom, Russia, United States"
s963,United States
s964,United States
s965,"Argentina, Spain"
s966,"France, Belgium"
s967,"Canada, United States"
s968,United States
s969,United States
s970,United States
s971,Japan
s972,United States
s973,Japan
s974,Japan
s975,Japan
s976,Japan
s977,United States
s978,"Germany, Jordan, Netherlands"
s979,France
s980,"Hong Kong, China"
s981,
s982,"Australia, United States"
s983,South Africa
s984,France
s985,Thailand
s986,South Africa
s987,France
s988,India
s989,United States
s990,Brazil
s991,"Argentina, United States"
s992,United States
s993,Norway
s994,United States
s995,Canada
s996,Japan
s997,"France, Belgium, Spain"
s998,United States
s999,United States
s1000,United States
s1001,United Kingdom
s1002,"United States, France"
s1003,"Germany, United States"
s1004,United States
s1005,India
s1006,Canada
s1007,Japan
s1008,Thailand
s1009,United States
s1010,United States
s1011,Canada
s1012,United States
s1013,
s1014,Canada
s1015,"Denmark, Sweden, Israel, United States"
s1016,United States
s1017,India
s1018,India
s1019,
s1020,United Kingdom
s1021,"Ireland, United Kingdom"
s1022,
s1023,India
s1024,India
s1025,Spain
s1026,United States
s1027,United States
s1028,"United States, Iceland"
s1029,Colombia
s1030,India
s1031,United States
s1032,Spain
s1033,"United Arab Emirates, United Kingdom, India"
s1034,India
s1035,New Zealand
s1036,United States
s1037,Netherlands
s1038,Canada
s1039,Canada
s1040,Australia
s1041,United States
s1042,United States
s1043,Sweden
s1044,Russia
s1045,United States
s1046,India
s1047,
s1048,Canada
s1049,United Kingdom
s1050,"Norway, Germany, Sweden"
s1051,"Finland, France"
s1052,Denmark
s1053,Brazil
s1054,Philippines
s1055,Spain
s1056,"Denmark, Spain"
s1057,New Zealand
s1058,United States
s1059,"United Kingdom, Russia"
s1060,India
s1061,Lebanon
s1062,United Kingdom
s1063,"United States, United Kingdom, Australia"
s1064,"Canada, United States"
s1065,Singapore
s1066,Egypt
s1067,Brazil
s1068,United States
s1069,Spain
s1070,"Bulgaria, United States"
s1071,South Korea
s1072,United States
s1073,"India, United Kingdom"
s1074,United States
s1075,"United States, Canada, Ireland"
s1076,
s1077,United States
s1078,United States
s1079,"Canada, United Kingdom"
s1080,"United States, Israel, Italy, South Africa"
s1081,United States
s1082,Canada
s1083,United States
s1084,
s1085,"France, Belgium"
s1086,
s1087,India
s1088,Hong Kong
s1089,United States
s1090,United States
s1091,India
s1092,United Kingdom
s1093,
s1094,Australia
s1095,
s1096,United States
s1097,United States
s1098,United States
s1099,Philippines
s1100,Indonesia
s1101,United States
s1102,United Kingdom
s1103,United States
s1104,
s1105,India
s1106,South Korea
s1107,United States
s1108,
s1109,United Kingdom
s1110,United States
s1111,Taiwan
s1112,United States
s1113,France
s1114,Turkey
s1115,United States
s1116,Brazil
s1117,China
s1118,"India, United States"
s1119,United States
s1120,Canada
s1121,Canada
s1122,Canada
s1123,India
s1124,"France, Belgium"
s1125,
s1126,"United Kingdom, China"
s1127,Brazil
s1128,United States
s1129,United States
s1130,India
s1131,"Indonesia, Singapore"
s1132,"Netherlands, Denmark, France, Germany"
s1133,India
s1134,India
s1135,"Bulgaria, United States"
s1136,United States
s1137,United States
s1138,United States
s1139,United States
s1140,United States
s1141,
s1142,United States
s1143,United States
s1144,"France, Belgium"
s1145,Turkey
s1146,"South Korea, Japan"
s1147,United States
s1148,United States
s1149,United Kingdom
s1150,United States
s1151,South Korea
s1152,United States
s1153,United States
s1154,Philippines
s1155,"Philippines, Canada, United Kingdom, United States"
s1156,"France, Malta, United States"
s1157,Kuwait
s1158,Turkey
s1159,India
s1160,India
s1161,"Belgium, France"
s1162,United States
s1163,United Kingdom
s1164,Spain
s1165,Norway
s1166,Japan
s1167,Indonesia
s1168,Argentina
s1169,South Korea
s1170,Egypt
s1171,"United Kingdom, Pakistan"
s1172,India
s1173,United Kingdom
s1174,
s1175,
s1176,
s1177,
s1178,
s1179,Sweden
s1180,Italy
s1181,France
s1182,United Kingdom
s1183,United States
s1184,United States
s1185,
s1186,Spain
s1187,"Mexico, United States"
s1188,United States
s1189,United States
s1190,Canada
s1191,United States
s1192,South Korea
s1193,Canada
s1194,Ireland
s1195,United States
s1196,Philippines
s1197,Egypt
s1198,United States
s1199,Taiwan
s1200,India
s1201,"United States, United Kingdom"
s1202,France
s1203,"United States, Japan"
s1204,United States
s1205,"France, New Zealand"
s1206,India
s1207,United States
s1208,United States
s1209,United Kingdom
s1210,
s1211,"France, Belgium"
s1212,Ireland
s1213,Japan
s1214,United States
s1215,United States
s1216,India
s1217,Philippines
s1218,India
s1219,United States
s1220,Mexico
s1221,Mexico
s1222,Argentina
s1223,United States
s1224,"Canada, United States"
s1225,"United Kingdom, United States, Australia"
s1226,Japan
s1227,United States
s1228,United States
s1229,United States
s1230,"United States, Mexico"
s1231,France
s1232,Iceland
s1233,"United States, Canada"
s1234,Japan
s1235,"United Kingdom, Czech Republic, United States, Germany, Bahamas"
s1236,Hong Kong
s1237,Hong Kong
s1238,"United States, Australia, China"
s1239,Nigeria
s1240,
s1241,United States
s1242,United States
s1243,"United States, Canada"
s1244,South Africa
s1245,"China, Germany, India, United States"
s1246,United States
s1247,Spain
s1248,"United States, Australia"
s1249,Canada
s1250,United Kingdom
s1251,Norway
s1252,United States
s1253,
s1254,Japan
s1255,India
s1256,Indonesia
s1257,United States
s1258,India
s1259,India
s1260,India
s1261,India
s1262,India
s1263,India
s1264,Pakistan
s1265,United States
s1266,India
s1267,India
s1268,India
s1269,United States
s1270,India
s1271,United States
s1272,India
s1273,"Germany, Sri Lanka"
s1274,United States
s1275,Indonesia
s1276,"United States, Sweden"
s1277,"South Africa, United States"
s1278,Germany
s1279,
s1280,"United Kingdom, United States"
s1281,"United States, Germany"
s1282,United States
s1283,United States
s1284,United States
s1285,United States
s1286,"Canada, United States, Cayman Islands"
s1287,India
s1288,India
s1289,United States
s1290,United States
s1291,United States
s1292,Canada
s1293,"Hong Kong, China"
s1294,United States
s1295,Brazil
s1296,"India, France"
s1297,Australia
s1298,Indonesia
s1299,United States
s1300,United States
s1301,United States
s1302,South Korea
s1303,United States
s1304,South Korea
s1305,United States
s1306,United States
s1307,
s1308,United States
s1309,United States
s1310,United States
s1311,United States
s1312,India
s1313,United States
s1314,
s1315,United Kingdom
s1316,United Kingdom
s1317,India
s1318,India
s1319,
s1320,
s1321,
s1322,
s1323,India
s1324,South Korea
s1325,India
s1326,United States
s1327,United States
s1328,
s1329,United States
s1330,Nigeria
s1331,South Korea
s1332,United States
s1333,Lebanon
s1334,United Kingdom
s1335,Japan
s1336,Japan
s1337,
s1338,India
s1339,United States
s1340,China
s1341,
s1342,"United Kingdom, Canada"
s1343,India
s1344,"United States, India, Bangladesh"
s1345,"United Kingdom, United States"
s1346,"United States, Canada, France"
s1347,South Korea
s1348,United States
s1349,India
s1350,India
s1351,China
s1352,United States
s1353,United States
s1354,United States
s1355,United States
s1356,
s1357,United States
s1358,United States
s1359,United States
s1360,United States
s1361,United States
s1362,"United Kingdom, United States"
s1363,United States
s1364,Germany
s1365,"Canada, United States"
s1366,United States
s1367,United States
s1368,United States
s1369,United Kingdom
s1370,Canada
s1371,Canada
s1372,Canada
s1373,United States
s1374,United States
s1375,United States
s1376,Argentina
s1377,
s1378,India
s1379,
s1380,
s1381,
s1382,
s1383,Malaysia
s1384,India
s1385,Pakistan
s1386,India
s1387,United Kingdom
s1388,India
s1389,Turkey
s1390,South Korea
s1391,
s1392,
s1393,
s1394,
s1395,United States
s1396,United States
s1397,United States
s1398,Nigeria
s1399,"Taiwan, China, France, United States"
s1400,United Kingdom
s1401,"Brazil, France, Germany"
s1402,Brazil
s1403,"United States,"
s1404,United Kingdom
s1405,United Kingdom
s1406,"Turkey, France, Germany, Poland"
s1407,Japan
s1408,United States
s1409,"United States, United Kingdom, Australia"
s1410,United States
s1411,India
s1412,United States
s1413,India
s1414,Spain
s1415,United States
s1416,"Australia, New Zealand, United States"
s1417,United States
s1418,United Kingdom
s1419,United States
s1420,United States
s1421,"United Kingdom, United States"
s1422,"France, Belgium"
s1423,Taiwan
s1424,"United Kingdom, United States"
s1425,"Germany, United States, Hong Kong, Singapore"
s1426,"France, Germany, Switzerland"
s1427,United States
s1428,United States
s1429,United States
s1430,"Mexico, Argentina"
s1431,United States
s1432,
s1433,
s1434,
s1435,
s1436,
s1437,
s1438,Mexico
s1439,"United States, Germany"
s1440,United States
s1441,United States
s1442,United Kingdom
s1443,Spain
s1444,Mexico
s1445,United States
s1446,United States
s1447,Canada
s1448,Japan
s1449,"France, Belgium"
s1450,United States
s1451,United States
s1452,"Italy, United States, Argentina"
s1453,India
s1454,United States
s1455,United States
s1456,United States
s1457,Nigeria
s1458,South Africa
s1459,
s1460,United States
s1461,United States
s1462,India
s1463,"United Kingdom, United States"
s1464,India
s1465,"Germany, France, Luxembourg, United Kingdom, United States"
s1466,United States
s1467,South Korea
s1468,India
s1469,"Canada, United States, United Kingdom"
s1470,United States
s1471,United States
s1472,United States
s1473,United States
s1474,
s1475,United States
s1476,United States
s1477,Mexico
s1478,India
s1479,"United Kingdom, Canada, Italy"
s1480,United States
s1481,"Czech Republic, France"
s1482,United States
s1483,Vietnam
s1484,United Kingdom
s1485,Ireland
s1486,Turkey
s1487,Turkey
s1488,United Kingdom
s1489,United States
s1490,India
s1491,Mexico
s1492,United States
s1493,
s1494,Zimbabwe
s1495,United States
s1496,United States
s1497,United States
s1498,United States
s1499,Canada
s1500,United States
s1501,
s1502,United States
s1503,United States
s1504,United States
s1505,Netherlands
s1506,
s1507,Canada
s1508,United States
s1509,United States
s1510,Nigeria
s1511,Brazil
s1512,Australia
s1513,United States
s1514,United States
s1515,United States
s1516,United States
s1517,United States
s1518,"United States, Germany"
s1519,South Korea
s1520,United Kingdom
s1521,Indonesia
s1522,Philippines
s1523,United Kingdom
s1524,United States
s1525,Nigeria
s1526,Nigeria
s1527,United Kingdom
s1528,India
s1529,
s1530,Argentina
s1531,United States
s1532,United States
s1533,"United Kingdom, Canada"
s1534,India
s1535,Mexico
s1536,Mexico
s1537,France
s1538,"United States, Canada"
s1539,
s1540,Germany
s1541,Spain
s1542,"United Kingdom, France, Germany, Spain"
s1543,United States
s1544,United States
s1545,United States
s1546,Malaysia
s1547,"Taiwan, Hong Kong, United States, China"
s1548,"China, United States"
s1549,United States
s1550,United Kingdom
s1551,Philippines
s1552,United States
s1553,
s1554,"Canada, Brazil"
s1555,Italy
s1556,"United Kingdom, Australia"
s1557,Hungary
s1558,United States
s1559,United States
s1560,France
s1561,"Japan, United States"
s1562,Japan
s1563,India
s1564,United States
s1565,United States
s1566,
s1567,
s1568,Turkey
s1569,Turkey
s1570,United States
s1571,Australia
s1572,India
s1573,Turkey
s1574,Turkey
s1575,Turkey
s1576,United States
s1577,Mexico
s1578,United Kingdom
s1579,United States
s1580,United States
s1581,Argentina
s1582,India
s1583,"United States, India"
s1584,United States
s1585,United States
s1586,United States
s1587,
s1588,Australia
s1589,"Germany, Australia"
s1590,United States
s1591,
s1592,
s1593,Germany
s1594,United States
s1595,Mexico
s1596,India
s1597,United Kingdom
s1598,United Kingdom
s1599,United States
s1600,United Kingdom
s1601,United States
s1602,Mexico
s1603,Mexico
s1604,United States
s1605,United States
s1606,Indonesia
s1607,France
s1608,United States
s1609,United States
s1610,Ireland
s1611,"Germany, United States"
s1612,India
s1613,"United Kingdom, Poland, United States"
s1614,Mexico
s1615,Mexico
s1616,United States
s1617,Canada
s1618,"United States, United Kingdom, France"
s1619,United States
s1620,New Zealand
s1621,Egypt
s1622,India
s1623,India
s1624,India
s1625,United States
s1626,
s1627,Brazil
s1628,United States
s1629,"United Kingdom, United States"
s1630,United States
s1631,United States
s1632,United States
s1633,United States
s1634,"United States, United Kingdom"
s1635,Sweden
s1636,"United Kingdom, United States"
s1637,United States
s1638,Canada
s1639,
s1640,United States
s1641,United States
s1642,China
s1643,Bulgaria
s1644,United States
s1645,Taiwan
s1646,United States
s1647,United States
s1648,United States
s1649,Netherlands
s1650,United States
s1651,United Kingdom
s1652,"Philippines, United States"
s1653,United Kingdom
s1654,United States
s1655,United States
s1656,India
s1657,United States
s1658,United States
s1659,"Finland, Germany"
s1660,United States
s1661,United States
s1662,India
s1663,United States
s1664,Taiwan
s1665,South Korea
s1666,Canada
s1667,United States
s1668,India
s1669,United States
s1670,United States
s1671,Colombia
s1672,United States
s1673,United States
s1674,"United States, Thailand"
s1675,"United States, Bulgaria"
s1676,United States
s1677,United Kingdom
s1678,Turkey
s1679,India
s1680,"Spain, Belgium, Switzerland, United States, China, United Kingdom"
s1681,United States
s1682,Australia
s1683,India
s1684,India
s1685,United States
s1686,United States
s1687,United States
s1688,Canada
s1689,United States
s1690,India
s1691,India
s1692,India
s1693,Turkey
s1694,Turkey
s1695,United States
s1696,United States
s1697,United States
s1698,United States
s1699,"Denmark, Zimbabwe"
s1700,
s1701,United States
s1702,United States
s1703,United States
s1704,United Kingdom
s1705,United States
s1706,United States
s1707,United Kingdom
